pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 214, 'data1': 58, 'data2': 0, 'data3': 0, 'timestamp': 5576, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 78, 'data2': 62, 'data3': 0, 'timestamp': 5576, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 61, 'data2': 62, 'data3': 0, 'timestamp': 5577, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 55, 'data2': 62, 'data3': 0, 'timestamp': 5578, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 17, 'data2': 62, 'data3': 0, 'timestamp': 5579, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 5, 'data2': 62, 'data3': 0, 'timestamp': 5580, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 110, 'data2': 61, 'data3': 0, 'timestamp': 5581, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 105, 'data2': 61, 'data3': 0, 'timestamp': 5582, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 59, 'data2': 0, 'data3': 0, 'timestamp': 5583, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 101, 'data2': 61, 'data3': 0, 'timestamp': 5583, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 98, 'data2': 61, 'data3': 0, 'timestamp': 5584, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 79, 'data2': 61, 'data3': 0, 'timestamp': 5585, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 50, 'data2': 61, 'data3': 0, 'timestamp': 5586, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 47, 'data2': 61, 'data3': 0, 'timestamp': 5587, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 43, 'data2': 61, 'data3': 0, 'timestamp': 5588, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 60, 'data2': 0, 'data3': 0, 'timestamp': 5589, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 39, 'data2': 61, 'data3': 0, 'timestamp': 5589, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 37, 'data2': 61, 'data3': 0, 'timestamp': 5590, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 33, 'data2': 61, 'data3': 0, 'timestamp': 5591, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 61, 'data2': 0, 'data3': 0, 'timestamp': 5592, 'vice_id': 0})>
